Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
rearrange,3.26,119,21,0.086021505376344,0.003584229390681,0.0883000260680061,0.7940560747663551,1.086,0.322,0.09392094080996884,0.8099196953963309,1.1199439252336447,0.66203738317757,0.0616965013596025,1986.04
erode,3.24,134,19,0.0714285714285714,0.0035714285714285,0.07750109610676775,0.8485172413793104,1.136,0.258,0.07298152402004127,0.777663868065967,1.1302521739130431,0.6383043478260869,0.057267548634579044,3787.43
kidnap,3.83,126,16,0.102112676056338,0.0035211267605633,0.11520954032947825,0.7580260869565217,1.142,0.236,0.10921966079460271,0.7886001499250376,1.1298434782608695,0.6357652173913043,0.0888392076478929,2596.9
disallow,2.26,129,58,0.0661157024793388,0.0041322314049586,0.03910541046603876,0.8473596491228069,1.264,0.41,0.06405154721586574,0.7720419189566836,1.0215309734513276,0.5811681415929203,0.027805043900980864,1528.06
amuse,2.57,90,18,0.1312056737588652,0.0035460992907801,0.07243605362161269,0.8110547945205479,1.099,0.315,0.06732899611255092,0.7629929655683081,0.949219178082192,0.5909863013698631,0.05034315830247211,2152.89
magnify,3.71,120,23,0.1696750902527075,0.003610108303249,0.11355888466822178,0.8959615384615384,1.19,0.436,0.09891231776556775,0.7831321882001492,1.063126213592233,0.6161747572815534,0.0919591137554955,1667.43
adjourn,2.54,92,46,0.1181102362204724,0.0039370078740157,0.06911834453234125,0.8102117647058823,1.11,0.337,0.06328793980848155,0.7327016806722688,0.995535714285714,0.5644523809523809,0.048029802884874885,2216.22
renounce,1.62,144,50,0.08,0.004,0.018019800766283525,0.7636608695652174,1.133,0.32,0.03344741551724138,0.8003783371472158,1.0823947368421052,0.641561403508772,0.014727404161354228,1169.57
disintegrate,2.68,115,33,0.0936329588014981,0.0037453183520599,0.0616643084256803,0.7713137254901962,1.058,0.272,0.07094750504473633,0.8074472917880025,1.0123663366336637,0.6785445544554456,0.03828429249149025,1542.93
slay,3.1,77,38,0.2595419847328244,0.0038167938931297,0.12330192552819443,0.8738787878787878,1.124,0.585,0.09289057982813209,0.7943328671328672,1.0301538461538462,0.6529076923076924,0.08532890160558157,2390.67
loosen,3.24,107,32,0.085820895522388,0.003731343283582,0.09683117565718316,0.7271546391752577,1.032,0.203,0.08592762802440564,0.8032828608247422,1.0214479166666666,0.6666145833333333,0.06503773854972081,1863.16
excel,2.15,122,17,0.0954063604240282,0.0035335689045936,0.03745889708644754,0.81428,1.039,0.368,0.03123237247524752,0.7346137373737374,1.059070707070707,0.5491010101010101,0.029003176066293487,1140.99
stimulate,3.22,154,22,0.0755395683453237,0.0035971223021582,0.06668943442091953,0.7279315068493151,1.093,0.302,0.06526471941105208,0.7970806802078413,1.0521862068965515,0.6510413793103449,0.04602379602081869,2022.46
agitate,2.93,132,27,0.1355311355311355,0.0036630036630036,0.06443985175118778,0.9009024390243903,1.288,0.438,0.0724205220954629,0.8631438091430094,1.0385081967213114,0.7454672131147543,0.03872333031677157,1938.54
restart,2.92,114,30,0.1037037037037037,0.0037037037037037,0.07386561723686567,0.7242386363636364,1.03,0.441,0.07161167364657813,0.739058777429467,1.1800919540229884,0.5701839080459771,0.0664250282909659,1164.99
infuriate,2.07,101,27,0.1721611721611721,0.0036630036630036,0.04205044769367509,0.9149750000000001,1.259,0.158,0.07372328179012345,0.823617088607595,1.0616075949367088,0.6881265822784809,0.023859988656900498,1667.29
exceed,1.76,115,27,0.0659340659340659,0.0036630036630036,0.026576849054843022,0.7646875,1.215,0.29,0.04103971606529209,0.7851114035087718,1.1520210526315788,0.5869473684210527,0.025813571699722038,835.82
amplify,2.96,101,17,0.0989399293286219,0.0035335689045936,0.08560276263419903,0.7940963855421687,1.112,0.363,0.08262427481353989,0.8136732295033793,1.1574634146341465,0.6837439024390244,0.06328651196320936,2027.12
